episode,reward,balance_score,loss,epsilon,steps,allocated_count,success_rate,train_batch_id,eval_balance_score,eval_success_rate,best_eval_score,best_eval_success,best_episode
1,20.61273253660681,0.1798589332575708,0.0,0.995,20,20,1.0,0,,,,,
2,16.73901689339188,0.24052927202160632,0.8215366005897522,0.990025,20,20,1.0,1,,,,,
3,19.11223778905744,0.16232228590218348,1.040055751800537,0.985074875,20,20,1.0,2,,,,,
4,18.559406144065754,0.30248456750757863,0.8407392501831055,0.9801495006250001,20,20,1.0,3,,,,,
5,18.7948529073819,0.3301843564417943,0.9152170419692993,0.9752487531218751,20,20,1.0,4,,,,,
6,19.29090843691248,0.3276520148964601,1.0187798738479614,0.9703725093562657,20,20,1.0,5,,,,,
7,19.48177806050522,0.23024401928230095,0.6862548589706421,0.9655206468094844,20,20,1.0,6,,,,,
8,20.52037298083801,0.20864491201297758,0.8134948015213013,0.960693043575437,20,20,1.0,7,,,,,
9,19.423562522592626,0.24665138707964274,1.0809953212738037,0.9558895783575597,20,20,1.0,8,,,,,
10,19.193858028448005,0.3682225681076896,0.7622197270393372,0.9511101304657719,20,20,1.0,9,,,,,
11,15.590877149184612,0.5794876825004149,0.8288793563842773,0.946354579813443,20,20,1.0,10,,,,,
12,17.286942268664248,0.5899619112722173,0.8619037866592407,0.9416228069143757,20,20,1.0,11,,,,,
13,19.58813386455835,0.2507825767096957,0.708139181137085,0.9369146928798039,20,20,1.0,12,,,,,
14,20.17945983277328,0.16057023161103065,0.5213912129402161,0.9322301194154049,20,20,1.0,13,,,,,
15,20.090256746052205,0.20229765288292278,0.43585658073425293,0.9275689688183278,20,20,1.0,14,,,,,
16,21.144103563524524,0.11900434943186833,0.395877867937088,0.9229311239742362,20,20,1.0,15,,,,,
17,18.950843534914263,0.292541995859056,0.6272099018096924,0.918316468354365,20,20,1.0,16,,,,,
18,17.432377840911077,0.4799017959921483,0.5141556262969971,0.9137248860125932,20,20,1.0,17,,,,,
19,19.29964569731508,0.15997980867865796,0.8060154914855957,0.9091562615825302,20,20,1.0,18,,,,,
20,14.925236398256871,0.20652777196345534,0.30427610874176025,0.9046104802746175,20,20,1.0,19,,,,,
21,16.020021731326676,0.1312334645668635,0.5070343017578125,0.9000874278732445,20,20,1.0,20,,,,,
22,19.96767273783734,0.3231656328266514,0.8040401935577393,0.8955869907338783,20,20,1.0,21,,,,,
23,18.61472185782616,0.33018435644179434,0.5538121461868286,0.8911090557802088,20,20,1.0,22,,,,,
24,16.707572638103073,0.4014441522894653,0.9950272440910339,0.8866535105013078,20,20,1.0,23,,,,,
