episode,reward,balance_score,loss,epsilon,steps,allocated_count,success_rate,train_batch_id,eval_balance_score,eval_success_rate,best_eval_score,best_eval_success,best_episode
1,53.14035540330686,0.16187035482118145,0.576183021068573,0.995,69,69,0.8625,0,,,,,
2,50.09714575572637,0.1312742184779418,0.3939453065395355,0.990025,67,67,0.8375,1,,,,,
3,57.031830752606545,0.13919410907075055,0.5746082067489624,0.985074875,70,70,0.875,2,,,,,
4,48.2321401723154,0.18405827115388837,0.31791090965270996,0.9801495006250001,61,61,0.7625,3,,,,,
5,50.96932283602675,0.20515421560992736,0.45064520835876465,0.9752487531218751,64,64,0.8,4,,,,,
6,48.595796593426684,0.1594197072167661,0.40302085876464844,0.9703725093562657,66,66,0.825,5,,,,,
7,47.02994240855329,0.09278132555655953,0.3369866907596588,0.9655206468094844,63,63,0.7875,6,,,,,
8,51.607262775576416,0.20002035493190165,0.32717078924179077,0.960693043575437,65,65,0.8125,7,,,,,
9,54.227386962878654,0.1594635521494853,0.16080036759376526,0.9558895783575597,68,68,0.85,8,,,,,
10,51.6022694697829,0.1593665931171053,0.22063271701335907,0.9511101304657719,64,64,0.8,9,,,,,
11,46.670297561917565,0.1741553506959334,0.10281148552894592,0.946354579813443,64,64,0.8,10,,,,,
12,48.96046157920408,0.13448396744593757,0.05896648019552231,0.9416228069143757,61,61,0.7625,11,,,,,
13,51.11522246448967,0.161152781277023,0.035167861729860306,0.9369146928798039,67,67,0.8375,12,,,,,
14,47.481055530790236,0.18505732482068707,0.04251040518283844,0.9322301194154049,65,65,0.8125,13,,,,,
15,50.460586031526084,0.10620929578508755,0.06720151007175446,0.9275689688183278,62,62,0.775,14,,,,,
16,45.010792032204,0.15499495959546555,0.06210378184914589,0.9229311239742362,63,63,0.7875,15,,,,,
17,42.47304561891795,0.1947985114935018,0.0881558433175087,0.918316468354365,61,61,0.7625,16,,,,,
18,46.4025147964396,0.1356148840552401,0.07484858483076096,0.9137248860125932,63,63,0.7875,17,,,,,
19,55.550391405267625,0.24389977372564037,0.07407565414905548,0.9091562615825302,66,66,0.825,18,,,,,
20,50.914001565762476,0.09499177595981666,0.08708305656909943,0.9046104802746175,59,59,0.7375,19,,,,,
21,48.28451557676435,0.1524035617117448,0.20264951884746552,0.9000874278732445,64,64,0.8,20,,,,,
22,53.64152775204194,0.10883576961037505,0.22037670016288757,0.8955869907338783,68,68,0.85,21,,,,,
23,50.52975960645682,0.1507105941214196,0.29791176319122314,0.8911090557802088,65,65,0.8125,22,,,,,
24,52.692503459910924,0.13693063937629152,0.27443018555641174,0.8866535105013078,70,70,0.875,23,,,,,
25,44.90822130612572,0.0739509972887452,0.2017412781715393,0.8822202429488013,62,62,0.775,24,,,,,
26,54.771706504038676,0.20474293173296382,0.13675832748413086,0.8778091417340573,69,69,0.8625,25,,,,,
27,51.09798134081938,0.08926785535678562,0.06547336280345917,0.8734200960253871,63,63,0.7875,26,,,,,
28,54.861178321767696,0.1132555919952692,0.07367315888404846,0.8690529955452602,69,69,0.8625,27,,,,,
29,47.3922536780624,0.1572579582857405,0.017483461648225784,0.8647077305675338,68,68,0.85,28,,,,,
30,61.84623894743751,0.16362789290143565,0.010501418262720108,0.8603841919146962,68,68,0.85,29,,,,,
31,42.490122964187734,0.18574729422466,0.015577822923660278,0.8560822709551227,62,62,0.775,30,,,,,
32,47.503295769788764,0.13635890143294643,0.02728993073105812,0.851801859600347,65,65,0.8125,31,,,,,
33,46.240834778843926,0.23663151803622778,0.06648212671279907,0.8475428503023453,64,64,0.8,32,,,,,
34,47.59057535310922,0.11162856937182346,0.054698847234249115,0.8433051360508336,64,64,0.8,33,,,,,
35,45.911677813633084,0.06817945071647322,0.06240908056497574,0.8390886103705794,59,59,0.7375,34,,,,,
36,51.55631760598199,0.16723860200324564,0.051319658756256104,0.8348931673187264,62,62,0.775,35,,,,,
37,46.436972444444784,0.09682458365518541,0.046118829399347305,0.8307187014821328,64,64,0.8,36,,,,,
38,56.876967216162065,0.1,0.013820774853229523,0.8265651079747222,72,72,0.9,37,,,,,
39,49.8326584557561,0.171216683374046,0.006818248890340328,0.8224322824348486,63,63,0.7875,38,,,,,
40,43.13649362852114,0.1785477838259289,0.011130106635391712,0.8183201210226743,56,56,0.7,39,,,,,
41,48.5589405849841,0.17404199559153435,0.17977653443813324,0.8142285204175609,64,64,0.8,40,,,,,
42,51.91683900929087,0.16368194838381384,0.21953439712524414,0.810157377815473,64,64,0.8,41,,,,,
43,49.95254342405374,0.09333240326917548,0.20484885573387146,0.8061065909263957,65,65,0.8125,42,,,,,
