method,target_load,avg_actual_load,avg_memory_load,avg_core_load,avg_balance_score,std_balance_score,avg_success_rate,std_success_rate,avg_failure_rate,avg_allocated_count,avg_failure_count,avg_objective,std_objective,avg_num_gpus,avg_num_pods,exp_dir
dqn,0.6,0.6394769372784078,0.6090892857142857,0.5033794979530274,0.1566702728607289,0.0689791211961303,1.0,0.0,0.0,10.34,0.0,1.843329727139271,0.0689791211961303,3.0,10.34,DQN2/outputs_load_exp/load_0.6
random,0.6,0.6394769372784078,0.6090892857142857,0.5033794979530274,0.393042872095995,0.1547569387756368,1.0,0.0,0.0,10.34,0.0,1.6069571279040051,0.1547569387756367,3.0,10.34,DQN2/outputs_load_exp/load_0.6
simple-spread,0.6,0.6394769372784078,0.6090892857142857,0.5033794979530274,0.2602456871384139,0.0928464697201124,1.0,0.0,0.0,10.34,0.0,1.739754312861586,0.0928464697201124,3.0,10.34,DQN2/outputs_load_exp/load_0.6
volcano-binpack,0.6,0.6394769372784078,0.6090892857142857,0.5033794979530274,0.643257829548373,0.1426415053399419,1.0,0.0,0.0,10.34,0.0,1.3567421704516271,0.1426415053399419,3.0,10.34,DQN2/outputs_load_exp/load_0.6
volcano-spread,0.6,0.6394769372784078,0.6090892857142857,0.5033794979530274,0.2202353564774603,0.0778710955236847,1.0,0.0,0.0,10.34,0.0,1.7797646435225396,0.0778710955236848,3.0,10.34,DQN2/outputs_load_exp/load_0.6
dqn,0.8,0.8435845714742772,0.7998172799422799,0.7017971028154852,0.2229465381533435,0.0919957469600177,0.99397668997669,0.0248034671577211,0.00602331002331,14.46,0.08,1.7529602217534164,0.1589067336331107,3.0,14.54,DQN2/outputs_load_exp/load_0.8
random,0.8,0.8435845714742772,0.7998172799422799,0.7017971028154852,0.2912854673474362,0.1118825729198694,0.9940886809269162,0.0206171021774762,0.0059113190730837,14.46,0.08,1.6850692563602283,0.1587705801818399,3.0,14.54,DQN2/outputs_load_exp/load_0.8
simple-spread,0.8,0.8435845714742772,0.7998172799422799,0.7017971028154852,0.2461516664678792,0.0959060839221328,0.9875514526752918,0.0274261652599506,0.0124485473247083,14.36,0.18,1.7040541442332875,0.1741986718291715,3.0,14.54,DQN2/outputs_load_exp/load_0.8
volcano-binpack,0.8,0.8435845714742772,0.7998172799422799,0.7017971028154852,0.3482884212744326,0.0841799448988545,0.9972380952380951,0.013676345857795,0.0027619047619047,14.5,0.04,1.6406639596779482,0.1078723917000742,3.0,14.54,DQN2/outputs_load_exp/load_0.8
volcano-spread,0.8,0.8435845714742772,0.7998172799422799,0.7017971028154852,0.2281379479298507,0.0892772792830901,0.9902924596043792,0.0247303624296986,0.0097075403956208,14.4,0.14,1.7330318904876656,0.1392685819069901,3.0,14.54,DQN2/outputs_load_exp/load_0.8
