episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,best_eval_objective
1,train-load-1.5-scenario-108,1.5,0.8,0.3333333333333333,0.8,42.66964305449708,1.6613518940219218,0.3386481059780782,1.0,0.0,1.0,0.0,28,0,28,0,28,7,28,28,0.0,0.995,,,,,,,-1e+18
2,train-load-1.8-scenario-686,1.8,0.875,0.875,0.7875,43.3228237959357,1.7970578809502795,0.20294211904972037,1.0,0.0,1.0,0.0,28,0,28,0,28,8,28,28,0.0,0.990025,,,,,,,-1e+18
3,train-load-1.0-scenario-315,1.0,1.2,1.0666666666666667,1.2,16.307052584680832,0.6968627450980392,0.12666666666666668,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,12,5,12,5,17,5,17,12,2.6762962341308594,0.985074875,,,,,,,-1e+18
4,train-load-1.2-scenario-631,1.2,1.4583333333333333,0.2777777777777778,1.4583333333333333,12.891592354915208,0.3871581694791929,0.27950849718747367,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,10,5,10,5,15,6,15,10,3.123322010040283,0.9801495006250001,,,,,,,-1e+18
5,train-load-1.5-scenario-149,1.5,1.5,1.2,1.5,17.216431244842283,0.6023808362016474,0.28650805268724133,0.7222222222222222,0.2777777777777778,0.6296296296296297,0.37037037037037035,13,5,17,10,27,6,18,13,2.183452606201172,0.9752487531218751,,,,,,,-1e+18
6,train-load-0.8-scenario-356,0.8,0.9428571428571428,0.2619047619047619,0.9428571428571428,9.893299591068988,0.5454545454545454,2.7755575615628914e-17,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.36363636363636365,7,4,7,4,11,7,11,7,4.248129844665527,0.9703725093562657,,,,,,,-1e+18
7,train-load-0.6-scenario-489,0.6,1.7333333333333334,1.7333333333333334,0.8,2.2940677320903804,-0.6651483716701108,0.6651483716701108,0.5,0.5,0.42857142857142855,0.5714285714285714,4,4,6,8,14,5,8,4,2.9080142974853516,0.9655206468094844,,,,,,,-1e+18
8,train-load-1.2-scenario-454,1.2,1.4285714285714286,1.4285714285714286,0.8571428571428571,6.8868041741355075,-0.13333333333333353,1.6653345369377348e-16,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.5333333333333333,7,8,7,8,15,7,15,7,2.9318225383758545,0.960693043575437,,,,,,,-1e+18
9,train-load-0.8-scenario-72,0.8,0.8571428571428571,0.8571428571428571,0.42857142857142855,23.93002412568851,1.7333333333333332,1.6653345369377348e-16,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.06666666666666667,14,1,14,1,15,7,15,14,1.3455243110656738,0.9558895783575597,,,,,,,-1e+18
10,train-load-1.5-scenario-741,1.5,1.875,1.375,1.875,8.10304934615985,-0.125,0.125,0.5,0.5,0.5,0.5,8,8,8,8,16,4,16,8,2.5942721366882324,0.9511101304657719,,,,,,,-1e+18
11,train-load-0.8-scenario-398,0.8,0.65,0.3125,0.65,28.961683155879705,1.785048094716167,0.21495190528383293,1.0,0.0,1.0,0.0,17,0,17,0,17,4,17,17,4.548514366149902,0.946354579813443,,,,,,,-1e+18
12,train-load-0.8-scenario-512,0.8,0.94,0.22,0.94,17.9449698676666,1.5563636363636362,0.07999999999999999,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.09090909090909091,10,1,10,1,11,5,11,10,1.8285595178604126,0.9416228069143757,,,,,,,-1e+18
13,train-load-1.0-scenario-175,1.0,1.1875,0.4625,1.1875,23.509012285279383,1.212296102671619,0.15612494995995999,0.8421052631578947,0.15789473684210525,0.8421052631578947,0.15789473684210525,16,3,16,3,19,8,19,16,3.28678560256958,0.9369146928798039,,,,,,,-1e+18
14,train-load-1.8-scenario-650,1.8,1.5625,1.025,1.5625,17.461697622580804,0.10587060359005873,0.179843682124227,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,16,12,16,12,28,8,28,16,1.5887722969055176,0.9322301194154049,,,,,,,-1e+18
15,train-load-1.5-scenario-531,1.5,3.0,2.0,3.0,-1.075,-1.0,0.0,0.25,0.75,0.25,0.75,2,6,4,12,16,4,8,2,2.4326376914978027,0.9275689688183278,,,,,,,-1e+18
16,train-load-1.2-scenario-607,1.2,1.35,1.35,1.35,18.42780558764497,0.37037037037037035,0.0,0.5925925925925926,0.4074074074074074,0.5925925925925926,0.4074074074074074,16,11,16,11,27,8,27,16,2.6790719032287598,0.9229311239742362,,,,,,,-1e+18
17,train-load-1.5-scenario-680,1.5,1.825,1.0,1.825,17.672785441167573,0.475,0.325,0.7,0.3,0.7,0.3,14,6,14,6,20,4,20,14,1.3157870769500732,0.918316468354365,,,,,,,-1e+18
18,train-load-1.2-scenario-175,1.2,1.65,1.65,0.625,2.694850714718804,-0.5357974541914885,0.5357974541914885,0.5,0.5,0.38461538461538464,0.6153846153846154,4,4,5,8,13,4,8,4,1.7269182205200195,0.9137248860125932,,,,,,,-1e+18
19,train-load-0.6-scenario-41,0.6,0.5476190476190477,0.5476190476190477,0.25,15.885154956969195,1.5789013308680748,0.4210986691319252,1.0,0.0,1.0,0.0,8,0,8,0,8,7,8,8,1.2914395332336426,0.9091562615825302,,,,,,,-1e+18
20,train-load-0.8-scenario-443,0.8,0.6666666666666666,0.5555555555555556,0.6666666666666666,31.795527209320284,1.5426863193942961,0.457313680605704,1.0,0.0,1.0,0.0,20,0,20,0,20,6,20,20,0.7901346683502197,0.9046104802746175,,,,,,,-1e+18
21,train-load-0.8-scenario-794,0.8,0.9,0.7222222222222222,0.9,13.546703759725817,0.7086699950444842,0.5640572776827886,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.18181818181818182,9,2,9,2,11,6,11,9,2.4457144737243652,0.9000874278732445,,,,,,,-1e+18
