episode,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,allocated_count,failure_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,best_eval_objective
1,1.2,1.1961624187549147,1.1961624187549147,1.1658229260148703,65.35479241176915,1.244466524452151,0.19412996677591937,0.8596491228070176,0.14035087719298245,49,8,8,57,49,0.0,0.995,,,,,-1e+18
2,0.8,0.8131744983454058,0.8055692107063515,0.8131744983454058,105.87859221844842,1.7497855827764877,0.25021441722351234,1.0,0.0,74,0,4,74,74,2.720184326171875,0.990025,,,,,-1e+18
3,1.2,1.203291152718451,1.203291152718451,1.1837920406259346,83.07017366151217,0.4814607979882195,0.3756820591546377,0.7142857142857143,0.2857142857142857,70,28,5,98,70,1.5043222904205322,0.985074875,,,,,-1e+18
4,1.0,1.03891617688288,1.03891617688288,0.9513381329844262,169.94972083214833,1.5706108136989392,0.18878768254166223,0.9398496240601504,0.06015037593984962,125,8,5,133,125,1.7852957248687744,0.9801495006250001,,,,,-1e+18
5,0.8,0.8069056546736925,0.8069056546736925,0.7848001910718806,273.5761960291768,1.6476818627952752,0.3523181372047247,1.0,0.0,199,0,7,199,199,1.3759808540344238,0.9752487531218751,,,,,-1e+18
6,0.6,0.6030731861097914,0.6030731861097914,0.5665221714137306,248.2064266897744,1.7918438984050962,0.20815610159490372,1.0,0.0,176,0,4,176,176,1.2204039096832275,0.9703725093562657,,,,,-1e+18
7,1.2,1.236629081805736,1.1652573835233901,1.236629081805736,66.68344766171076,0.901209864739035,0.21643719408449458,0.7794117647058824,0.22058823529411764,53,15,6,68,53,2.0795249938964844,0.9655206468094844,,,,,-1e+18
8,1.2,1.2238257854543244,1.2238257854543244,1.1674266894224838,147.20879612831277,0.7202087921485713,0.2491163612256619,0.7423312883435583,0.25766871165644173,121,42,7,163,121,2.4053404331207275,0.960693043575437,,,,,-1e+18
9,0.6,0.5894571026651371,0.5894571026651371,0.585164814582658,245.04236249099566,1.886889394799061,0.11311060520093903,1.0,0.0,173,0,4,173,173,2.0012013912200928,0.9558895783575597,,,,,-1e+18
10,1.0,0.979724543716785,0.9715022347475726,0.979724543716785,197.2116393874147,1.3822105905756885,0.25193575088772624,0.9085365853658537,0.09146341463414634,149,15,6,164,149,1.4984722137451172,0.9511101304657719,,,,,-1e+18
11,0.8,0.783777453866582,0.783777453866582,0.7383925460417176,178.2244410468068,1.7473500162829585,0.25264998371704145,1.0,0.0,127,0,5,127,127,1.4141294956207275,0.946354579813443,,,,,-1e+18
12,0.6,0.6200485583398273,0.6200485583398273,0.5665378390946051,247.6311396466789,1.8040472370874001,0.19595276291259997,1.0,0.0,176,0,4,176,176,1.0117957592010498,0.9416228069143757,,,,,-1e+18
