metric,mean,std
success,0.7290145667674282,0.0038479106094481
objective,0.4113841682531159,0.0195972068093571
balance,0.5046740988165965,0.0101254441194653
inter,0.2466391589206882,0.007700861138088
intra,0.2580349398959082,0.0058909805177436
lowmid_success,0.8175604478867273,0.0022486830716702
lowmid_objective,0.7562230713760251,0.0160465819999309
lowmid_balance,0.5140187201708837,0.0099879932031573
conflict_success,0.8476413495427437,0.0092537843089477
conflict_objective,0.8126608603152736,0.035484103065379
conflict_balance,0.5779045378557008,0.011737031775853
conflict_intra,0.2540176615422366,0.0166156584107581
