episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
1,train-load-0.6-scenario-372-retry-1,0.6,0.5920854285714285,0.4972324404761905,0.5920854285714285,12.564242626062914,0.9803263747303218,0.5752291808252337,0.8888888888888888,0.1111111111111111,0.9,0.1,8,1,9,1,10,7,9,8,0.0,0.995,,,,,,,,,,,-1e+18,-1e+18
2,train-load-0.9-scenario-391-retry-2,0.9,0.875,0.425,0.875,12.29192302066421,1.1176488960784579,0.3823511039215421,0.875,0.125,0.8,0.2,7,1,8,2,10,4,8,7,0.0,0.990025,,,,,,,,,,,-1e+18,-1e+18
3,train-load-0.9-scenario-53-retry-2,0.9,0.9437559999999999,0.7564646875000001,0.9437559999999999,11.839096129155253,0.8158622958620091,0.38413770413799087,0.8,0.2,0.8,0.2,8,2,8,2,10,4,10,8,0.0,0.985074875,,,,,,,,,,,-1e+18,-1e+18
4,train-load-0.9-scenario-638-retry-10,0.9,0.95,0.7976190476190477,0.95,2.8931100444703173,-0.5597876843301919,0.5597876843301919,0.5,0.5,0.5833333333333334,0.4166666666666667,5,5,7,5,12,7,10,5,0.0,0.9801495006250001,,,,,,,,,,,-1e+18,-1e+18
5,train-load-0.9-scenario-651-retry-1,0.9,0.92,0.6666666666666666,0.92,10.972303316134694,0.6723805471248528,0.5276194528751472,0.8,0.2,0.8,0.2,8,2,8,2,10,5,10,8,0.0,0.9752487531218751,,,,,,,,,,,-1e+18,-1e+18
6,train-load-0.8-scenario-174,0.8,0.747148,0.4771465,0.747148,4.075467849047131,0.05039214215897403,0.6162745245076926,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.2857142857142857,4,2,5,2,7,5,6,4,0.0,0.9703725093562657,,,,,,,,,,,-1e+18,-1e+18
7,train-load-0.5-scenario-443-retry-2,0.5,0.5416666666666666,0.5416666666666666,0.5416666666666666,22.092804100352733,1.6275055275558905,0.37249447244410944,1.0,0.0,1.0,0.0,13,0,13,0,13,6,13,13,0.0,0.9655206468094844,,,,,,,,,,,-1e+18,-1e+18
8,train-load-0.5-scenario-299-retry-1,0.5,0.6,0.6,0.6,12.862937896304599,1.0687044635243885,0.4868510920311668,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,8,1,8,1,9,5,9,8,0.0,0.960693043575437,,,,,,,,,,,-1e+18,-1e+18
9,train-load-0.9-scenario-515,0.9,1.0125,0.825,1.0125,9.865565005189291,-0.16517585055488437,0.6651758505548844,0.625,0.375,0.625,0.375,10,6,10,6,16,8,16,10,0.0,0.9558895783575597,,,,,,,,,,,-1e+18,-1e+18
10,train-load-0.7-scenario-322,0.7,0.6674979166666667,0.6674979166666667,0.45445050000000003,12.526139996330496,1.536231243161919,0.4637687568380811,1.0,0.0,1.0,0.0,6,0,6,0,6,4,6,6,0.0,0.9511101304657719,,,,,,,,,,,-1e+18,-1e+18
11,train-load-1.0-scenario-331,1.0,0.8814136,0.35999775,0.8814136,3.627186619855208,-0.171875344588445,0.671875344588445,0.625,0.375,0.6666666666666666,0.3333333333333333,5,3,6,3,9,5,8,5,0.0,0.946354579813443,,,,,,,,,,,-1e+18,-1e+18
12,train-load-1.0-scenario-228,1.0,0.9240107142857142,0.7081703571428571,0.9240107142857142,8.891631023559436,0.11492266647914329,0.5517440001875233,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,8,4,10,5,15,7,12,8,0.0,0.9416228069143757,,,,,,,,,,,-1e+18,-1e+18
13,train-load-1.0-scenario-660-retry-9,1.0,1.1,1.1,0.75,8.590634714952548,0.008653264668817107,0.45288519686964446,0.6153846153846154,0.38461538461538464,0.6111111111111112,0.3888888888888889,8,5,11,7,18,6,13,8,0.0,0.9369146928798039,,,,,,,,,,,-1e+18,-1e+18
14,train-load-0.5-scenario-286,0.5,0.5817091428571428,0.2286404761904762,0.5817091428571428,9.50852264930097,1.2171902530665843,0.7828097469334157,1.0,0.0,1.0,0.0,5,0,7,0,7,7,5,5,0.0,0.9322301194154049,,,,,,,,,,,-1e+18,-1e+18
15,train-load-0.6-scenario-538,0.6,0.59375,0.38125,0.59375,16.105009541335736,1.4529356598421033,0.5470643401578968,1.0,0.0,1.0,0.0,9,0,11,0,11,8,9,9,0.0,0.9275689688183278,,,,,,,,,,,-1e+18,-1e+18
16,train-load-1.0-scenario-361,1.0,1.0278475714285713,0.709439880952381,1.0278475714285713,12.982526762645172,0.3964010122137464,0.7464561306433964,0.7857142857142857,0.21428571428571427,0.75,0.25,11,3,12,4,16,7,14,11,0.0,0.9229311239742362,,,,,,,,,,,-1e+18,-1e+18
17,train-load-0.8-scenario-227-retry-6,0.8,0.7714285714285715,0.4142857142857143,0.7714285714285715,5.733200381721025,-0.3097045405327623,0.8551590859873077,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.36363636363636365,7,4,7,4,11,7,11,7,3.1758058071136475,0.918316468354365,,,,,,,,,,,-1e+18,-1e+18
18,train-load-0.7-scenario-734-retry-2,0.7,0.7,0.35,0.7,22.485085647846542,1.4373168922599404,0.5626831077400596,1.0,0.0,1.0,0.0,14,0,14,0,14,4,14,14,2.777729034423828,0.9137248860125932,,,,,,,,,,,-1e+18,-1e+18
19,train-load-1.0-scenario-182,1.0,0.96,0.96,0.96,10.293497982420968,0.3988152992906592,0.2678513673760074,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,8,4,8,4,12,5,12,8,2.5885419845581055,0.9091562615825302,,,,,,,,,,,-1e+18,-1e+18
20,train-load-0.6-scenario-307,0.6,0.6153772000000001,0.5454866666666667,0.6153772000000001,7.8257184301493155,0.7634673454456149,0.5698659878877186,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,5,1,6,1,7,5,6,5,2.112070322036743,0.9046104802746175,,,,,,,,,,,-1e+18,-1e+18
21,train-load-0.8-scenario-405-retry-1,0.8,0.7375,0.4125,0.7375,11.81792824125441,1.0502380984917892,0.4497619015082108,0.875,0.125,0.8888888888888888,0.1111111111111111,7,1,8,1,9,4,8,7,2.492418050765991,0.9000874278732445,,,,,,,,,,,-1e+18,-1e+18
22,train-load-0.5-scenario-215,0.5,0.4975633333333333,0.4975633333333333,0.4752474,11.692349302668621,1.3563254550847268,0.6436745449152731,1.0,0.0,1.0,0.0,6,0,6,0,6,5,6,6,2.3187038898468018,0.8955869907338783,,,,,,,,,,,-1e+18,-1e+18
23,train-load-0.5-scenario-712-retry-3,0.5,0.5916666666666667,0.4305555555555556,0.5916666666666667,17.086672737502447,1.4308904909214104,0.5691095090785896,1.0,0.0,1.0,0.0,10,0,10,0,10,6,10,10,2.143731117248535,0.8911090557802088,,,,,,,,,,,-1e+18,-1e+18
24,train-load-0.6-scenario-331,0.6,0.5489805,0.381015625,0.5489805,14.641861492923121,1.4701171707780818,0.5298828292219182,1.0,0.0,1.0,0.0,8,0,8,0,8,6,8,8,2.8287277221679688,0.8866535105013078,,,,,,,,,,,-1e+18,-1e+18
25,train-load-0.8-scenario-441,0.8,0.6817221428571429,0.6817221428571429,0.6276041428571428,11.56055342873026,0.7007852149887278,0.4992147850112722,0.8,0.2,0.8461538461538461,0.15384615384615385,8,2,11,2,13,7,10,8,1.8228707313537598,0.8822202429488013,,,,,,,,,,,-1e+18,-1e+18
26,train-load-0.8-scenario-417,0.8,0.92,0.8,0.92,6.9841110404369635,-0.012262635567402702,0.5577171810219481,0.6363636363636364,0.36363636363636365,0.6666666666666666,0.3333333333333333,7,4,8,4,12,5,11,7,1.4249827861785889,0.8778091417340573,,,,,,,,,,,-1e+18,-1e+18
27,train-load-0.5-scenario-504-retry-5,0.5,0.6142857142857143,0.3333333333333333,0.6142857142857143,10.894658766621593,0.9123534700681,0.5876465299319001,0.875,0.125,0.875,0.125,7,1,7,1,8,7,8,7,0.6665335893630981,0.8734200960253871,,,,,,,,,,,-1e+18,-1e+18
28,train-load-0.6-scenario-249,0.6,0.5176737142857143,0.3532664285714286,0.5176737142857143,12.498066921809743,1.101497618662578,0.898502381337422,1.0,0.0,1.0,0.0,8,0,8,0,8,7,8,8,0.7027397751808167,0.8690529955452602,,,,,,,,,,,-1e+18,-1e+18
29,train-load-0.9-scenario-428,0.9,0.9,0.9,0.9,7.404645162688601,0.2579457147177564,0.4087209519489102,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,3,6,3,9,4,9,6,0.8843144178390503,0.8647077305675338,,,,,,,,,,,-1e+18,-1e+18
30,train-load-0.5-scenario-349,0.5,0.42726385714285714,0.33268095238095235,0.42726385714285714,11.055220916866022,1.0997595210287323,0.9002404789712677,1.0,0.0,1.0,0.0,7,0,7,0,7,7,7,7,1.1625208854675293,0.8603841919146962,,,,,,,,,,,-1e+18,-1e+18
31,train-load-0.7-scenario-356,0.7,0.75,0.25,0.75,22.806744822810828,1.354931997773822,0.645068002226178,1.0,0.0,1.0,0.0,15,0,15,0,15,5,15,15,0.9220354557037354,0.8560822709551227,,,,,,,,,,,-1e+18,-1e+18
32,train-load-1.0-scenario-728-retry-6,1.0,1.1111111111111112,1.1111111111111112,0.38333333333333336,3.6576445675358746,-0.48638342194434403,0.6682016037625258,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453,6,5,6,5,11,6,11,6,0.9912840723991394,0.851801859600347,,,,,,,,,,,-1e+18,-1e+18
33,train-load-0.5-scenario-473-retry-4,0.5,0.5625,0.45,0.5625,13.572453272360123,1.1752296928434927,0.38032586271206287,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,8,1,8,1,9,8,9,8,1.5461755990982056,0.8475428503023453,,,,,,,,,,,-1e+18,-1e+18
34,train-load-0.6-scenario-168,0.6,0.6791666666666667,0.6791666666666667,0.6333333333333333,13.655603266232967,0.8731109640422391,0.39961630868503384,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.18181818181818182,9,2,9,2,11,6,11,9,1.3597608804702759,0.8433051360508336,,,,,,,,,,,-1e+18,-1e+18
35,train-load-0.7-scenario-538-retry-1,0.7,0.78,0.78,0.65,17.749898252738415,1.175666671527589,0.2089487130877955,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.15384615384615385,11,2,11,2,13,5,13,11,1.1229255199432373,0.8390886103705794,,,,,,,,,,,-1e+18,-1e+18
36,train-hard-8gpu-16pod-1vgpu,0.5,0.5,0.3333333333333333,0.5,23.431151460809545,1.2440776823445439,0.7559223176554563,1.0,0.0,1.0,0.0,16,0,16,0,16,8,16,16,0.7856441140174866,0.8348931673187264,,,,,,,,,,,-1e+18,-1e+18
